Experiment,BREED,treatment,Trait,tissue,collection_time,Collection_Date,BioProject,subset,TRSS
SRX18040064,ABC_VIMS_Family_2017084,Dose 1x10^6,tolerant,mantle,,6/20/2018,PRJNA894694,0.0,tolerant
SRX18040063,ABC_VIMS_Family_2017084,Control,tolerant,mantle,,6/20/2018,PRJNA894694,1.0,tolerant
SRX18040062,ABC_VIMS_Family_2017120,Dose 1x10^6,sensitive,mantle,,6/20/2018,PRJNA894694,0.0,sensitive
SRX18040061,ABC_VIMS_Family_2017120,Dose 1x10^8,sensitive,mantle,,6/20/2018,PRJNA894694,1.0,sensitive
SRX18040060,ABC_VIMS_Family_2017090,Dose 1x10^6,sensitive,mantle,,6/20/2018,PRJNA894694,0.0,sensitive
SRX18040059,ABC_VIMS_Family_2017120,Dose 1x10^7,sensitive,mantle,,6/20/2018,PRJNA894694,1.0,sensitive
SRX18040057,ABC_VIMS_Family_2017090,Control,sensitive,mantle,,6/20/2018,PRJNA894694,1.0,sensitive
SRX18040056,ABC_VIMS_Family_2017089,Dose 1x10^6,tolerant,mantle,,6/20/2018,PRJNA894694,0.0,tolerant
SRX18040055,ABC_VIMS_Family_2017084,Dose 1x10^8,tolerant,mantle,,6/20/2018,PRJNA894694,1.0,tolerant
SRX18040058,ABC_VIMS_Family_2017090,Dose 1x10^8,sensitive,mantle,,6/20/2018,PRJNA894694,1.0,sensitive
SRX18040054,ABC_VIMS_Family_2017120,Dose 1x10^8,sensitive,mantle,,6/20/2018,PRJNA894694,1.0,sensitive
SRX18040053,ABC_VIMS_Family_2017120,Control,sensitive,mantle,,6/20/2018,PRJNA894694,1.0,sensitive
SRX18040052,ABC_VIMS_Family_2017090,Dose 1x10^8,sensitive,mantle,,6/20/2018,PRJNA894694,1.0,sensitive
SRX18040051,ABC_VIMS_Family_2017090,Control,sensitive,mantle,,6/20/2018,PRJNA894694,1.0,sensitive
SRX18040049,ABC_VIMS_Family_2017090,Control,sensitive,mantle,,6/20/2018,PRJNA894694,1.0,sensitive
SRX18040048,ABC_VIMS_Family_2017089,Dose 1x10^6,tolerant,mantle,,6/20/2018,PRJNA894694,0.0,tolerant
SRX18040046,ABC_VIMS_Family_2017120,Dose 1x10^6,sensitive,mantle,,6/20/2018,PRJNA894694,0.0,sensitive
SRX18040045,ABC_VIMS_Family_2017090,Dose 1x10^7,sensitive,mantle,,6/20/2018,PRJNA894694,1.0,sensitive
SRX18040044,ABC_VIMS_Family_2017090,Dose 1x10^6,sensitive,mantle,,6/20/2018,PRJNA894694,0.0,sensitive
SRX18040047,ABC_VIMS_Family_2017089,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,1.0,tolerant
SRX18040043,ABC_VIMS_Family_2017089,Dose 1x10^8,tolerant,mantle,,6/20/2018,PRJNA894694,1.0,tolerant
SRX18040042,ABC_VIMS_Family_2017089,Control,tolerant,mantle,,6/20/2018,PRJNA894694,1.0,tolerant
SRX18040041,ABC_VIMS_Family_2017084,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,1.0,tolerant
SRX18040040,ABC_VIMS_Family_2017084,Dose 1x10^6,tolerant,mantle,,6/20/2018,PRJNA894694,0.0,tolerant
SRX18040038,ABC_VIMS_Family_2017120,Dose 1x10^6,sensitive,mantle,,6/20/2018,PRJNA894694,0.0,sensitive
SRX18040037,ABC_VIMS_Family_2017090,Dose 1x10^7,sensitive,mantle,,6/20/2018,PRJNA894694,1.0,sensitive
SRX18040036,ABC_VIMS_Family_2017084,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,1.0,tolerant
SRX18040039,ABC_VIMS_Family_2017120,Dose 1x10^7,sensitive,mantle,,6/20/2018,PRJNA894694,1.0,sensitive
SRX18040035,ABC_VIMS_Family_2017090,Dose 1x10^6,sensitive,mantle,,6/20/2018,PRJNA894694,0.0,sensitive
SRX18040034,ABC_VIMS_Family_2017089,Dose 1x10^8,tolerant,mantle,,6/20/2018,PRJNA894694,1.0,tolerant
SRX18040033,ABC_VIMS_Family_2017089,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,1.0,tolerant
SRX18040032,ABC_VIMS_Family_2017084,Dose 1x10^6,tolerant,mantle,,6/20/2018,PRJNA894694,0.0,tolerant
SRX18040030,ABC_VIMS_Family_2017120,Dose 1x10^7,sensitive,mantle,,6/20/2018,PRJNA894694,1.0,sensitive
SRX18040029,ABC_VIMS_Family_2017120,Dose 1x10^6,sensitive,mantle,,6/20/2018,PRJNA894694,0.0,sensitive
SRX18040028,ABC_VIMS_Family_2017090,Dose 1x10^6,sensitive,mantle,,6/20/2018,PRJNA894694,0.0,sensitive
SRX18040031,ABC_VIMS_Family_2017084,Control,tolerant,mantle,,6/20/2018,PRJNA894694,1.0,tolerant
SRX18040027,ABC_VIMS_Family_2017089,Dose 1x10^8,tolerant,mantle,,6/20/2018,PRJNA894694,1.0,tolerant
SRX18040026,ABC_VIMS_Family_2017084,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,1.0,tolerant
SRX18040025,ABC_VIMS_Family_2017084,Dose 1x10^8,tolerant,mantle,,6/20/2018,PRJNA894694,1.0,tolerant
SRX18040050,ABC_VIMS_Family_2017089,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,1.0,tolerant
